token_cap,reserved_slots,refill,proc_delay,repeat,success,failures,processed,tokens_left,max_queue_len,time_ms,elapsed_ms,exit_code,logfile
512,64,4,5,1,528,2672,528,412,496,3039.956,3039.956,0,
512,64,8,1,1,528,2672,528,512,496,996.274,996.274,0,
512,64,8,2,1,525,2675,525,512,496,1462.936,1462.936,0,
512,64,8,5,1,528,2672,528,512,496,3034.206,3034.206,0,
512,64,16,1,1,528,2672,528,512,496,991.799,991.799,0,
512,64,16,2,1,528,2672,528,512,496,1478.114,1478.114,0,
512,64,16,5,1,528,2672,528,512,496,3077.154,3077.154,0,
512,128,4,1,1,528,2672,528,445,496,1029.166,1029.166,0,
512,128,4,2,1,528,2672,528,444,496,1513.878,1513.878,0,
512,128,4,5,1,527,2673,527,445,496,3038.704,3038.704,0,
512,128,8,1,1,528,2672,528,512,496,998.393,998.393,0,
512,128,8,2,1,523,2677,523,512,496,1454.21,1454.21,0,
512,128,8,5,1,528,2672,528,512,496,3022.216,3022.216,0,
512,128,16,1,1,522,2678,522,512,496,974.961,974.961,0,
512,128,16,2,1,521,2679,521,512,496,1439.677,1439.677,0,
512,128,16,5,1,528,2672,528,512,496,3073.324,3073.324,0,
